question,entities_for_tables,entities_for_columns,query,tables,entities
What are the first name and gender of the students who have allergy to milk but can put up with cats?,['students'],"['first name', 'gender', 'allergy', 'milk', 'cats']","SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Milk"" EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Cat"")","['Student', 'Has_allergy']","['students', 'first name', 'gender', 'allergy', 'milk', 'cats']"
Find the average age of the students who have allergies with food and animal types.,['students'],"['age', 'allergies', 'food', 'animal']","SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"" INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""animal"")","['Allergy_Type', 'Student', 'Has_allergy']","['students', 'age', 'allergies', 'food', 'animal']"
How old are the students with allergies to food and animal types on average?,['students'],"['age', 'allergies', 'food', 'animal types']","SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"" INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""animal"")","['Allergy_Type', 'Student', 'Has_allergy']","['students', 'age', 'allergies', 'food', 'animal types']"
List the first and last name of the students who do not have any food type allergy.,['students'],"['first name', 'last name', 'food type allergy']","SELECT fname ,  lname FROM Student WHERE StuID NOT IN (SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"")","['Allergy_Type', 'Student', 'Has_allergy']","['students', 'first name', 'last name', 'food type allergy']"
What is the full name of each student who is not allergic to any type of food.,['student'],"['full name', 'allergic', 'food']","SELECT fname ,  lname FROM Student WHERE StuID NOT IN (SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"")","['Allergy_Type', 'Student', 'Has_allergy']","['student', 'full name', 'allergic', 'food']"
Find the number of male (sex is 'M') students who have some food type allery.,['students'],"['sex', 'food type allergy']","SELECT count(*) FROM Student WHERE sex  =  ""M"" AND StuID IN (SELECT StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"")","['Allergy_Type', 'Student', 'Has_allergy']","['students', 'sex', 'food type allergy']"
How many male students (sex is 'M') are allergic to any type of food?,['students'],"['sex', 'allergic', 'food']","SELECT count(*) FROM Student WHERE sex  =  ""M"" AND StuID IN (SELECT StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"")","['Allergy_Type', 'Student', 'Has_allergy']","['students', 'sex', 'allergic', 'food']"
Find the different first names and cities of the students who have allergy to milk or cat.,['students'],"['first names', 'cities', 'allergy']","SELECT DISTINCT T1.fname ,  T1.city_code FROM Student AS T1 JOIN Has_Allergy AS T2 ON T1.stuid  =  T2.stuid WHERE T2.Allergy  =  ""Milk"" OR T2.Allergy  =  ""Cat""","['Student', 'Has_Allergy']","['students', 'first names', 'cities', 'allergy']"
What are the distinct first names and cities of the students who have allergy either to milk or to cat?,['students'],"['first names', 'cities', 'allergy']","SELECT DISTINCT T1.fname ,  T1.city_code FROM Student AS T1 JOIN Has_Allergy AS T2 ON T1.stuid  =  T2.stuid WHERE T2.Allergy  =  ""Milk"" OR T2.Allergy  =  ""Cat""","['Student', 'Has_Allergy']","['students', 'first names', 'cities', 'allergy']"
Find the number of students who are older than 18 and do not have allergy to either food or animal.,['students'],"['age', 'allergy', 'food', 'animal']","SELECT count(*) FROM Student WHERE age  >  18 AND StuID NOT IN ( SELECT StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"" OR T2.allergytype  =  ""animal"")","['Allergy_Type', 'Student', 'Has_allergy']","['students', 'age', 'allergy', 'food', 'animal']"
How many students are over 18 and do not have allergy to food type or animal type?,['students'],"['age', 'allergy', 'food type', 'animal type']","SELECT count(*) FROM Student WHERE age  >  18 AND StuID NOT IN ( SELECT StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  ""food"" OR T2.allergytype  =  ""animal"")","['Allergy_Type', 'Student', 'Has_allergy']","['students', 'age', 'allergy', 'food type', 'animal type']"
Find the first name and major of the students who are not allegry to soy.,['students'],"['first name', 'major', 'allergy']","SELECT fname ,  major FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Soy"")","['Student', 'Has_allergy']","['students', 'first name', 'major', 'allergy']"
What are the first name and major of the students who are able to consume soy?,['students'],"['first name', 'major', 'consume soy']","SELECT fname ,  major FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Soy"")","['Student', 'Has_allergy']","['students', 'first name', 'major', 'consume soy']"
A list of the top 5 countries by number of invoices. List country name and number of invoices.,"['countries', 'invoices']","['country name', 'number of invoices']","SELECT billing_country ,  COUNT(*) FROM invoices GROUP BY billing_country ORDER BY count(*) DESC LIMIT 5;",['invoices'],"['countries', 'invoices', 'country name', 'number of invoices']"
What are the top 5 countries by number of invoices and how many do they have?,"['countries', 'invoices']",['number of invoices'],"SELECT billing_country ,  COUNT(*) FROM invoices GROUP BY billing_country ORDER BY count(*) DESC LIMIT 5;",['invoices'],"['countries', 'invoices', 'number of invoices']"
A list of the top 8 countries by gross/total invoice size. List country name and gross invoice size.,"['countries', 'invoices']","['country name', 'gross invoice size', 'total invoice size']","SELECT billing_country ,  SUM(total) FROM invoices GROUP BY billing_country ORDER BY SUM(total) DESC LIMIT 8;",['invoices'],"['countries', 'invoices', 'country name', 'gross invoice size', 'total invoice size']"
What are the names of the top 8 countries by total invoice size and what are those sizes?,"['countries', 'invoice']","['names', 'total invoice size']","SELECT billing_country ,  SUM(total) FROM invoices GROUP BY billing_country ORDER BY SUM(total) DESC LIMIT 8;",['invoices'],"['countries', 'invoice', 'names', 'total invoice size']"
A list of the top 10 countries by average invoice size. List country name and average invoice size.,"['countries', 'invoices']","['country name', 'average invoice size']","SELECT billing_country ,  AVG(total) FROM invoices GROUP BY billing_country ORDER BY AVG(total) DESC LIMIT 10;",['invoices'],"['countries', 'invoices', 'country name', 'average invoice size']"
What are the names of the countries and average invoice size of the top countries by size?,"['countries', 'invoices']","['names', 'average invoice size']","SELECT billing_country ,  AVG(total) FROM invoices GROUP BY billing_country ORDER BY AVG(total) DESC LIMIT 10;",['invoices'],"['countries', 'invoices', 'names', 'average invoice size']"
Find out 5 customers who most recently purchased something. List customers' first and last name.,"['customers', 'purchases']","['first name', 'last name', 'purchase date']","SELECT T1.first_name ,  T1.last_name FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id ORDER BY T2.invoice_date DESC LIMIT 5;","['customers', 'invoices']","['customers', 'purchases', 'first name', 'last name', 'purchase date']"
What are the first and last names of the 5 customers who purchased something most recently?,['customers'],"['first names', 'last names', 'purchased']","SELECT T1.first_name ,  T1.last_name FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id ORDER BY T2.invoice_date DESC LIMIT 5;","['customers', 'invoices']","['customers', 'first names', 'last names', 'purchased']"
Find out the top 10 customers by total number of orders. List customers' first and last name and the number of total orders.,"['customers', 'orders']","['first name', 'last name', 'number of orders']","SELECT T1.first_name ,  T1.last_name ,  COUNT(*) FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id GROUP BY T1.id ORDER BY COUNT(*) DESC LIMIT 10;","['customers', 'invoices']","['customers', 'orders', 'first name', 'last name', 'number of orders']"
What are the top 10 customers' first and last names by total number of orders and how many orders did they make?,"['customers', 'orders']","['first name', 'last name', 'total number of orders']","SELECT T1.first_name ,  T1.last_name ,  COUNT(*) FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id GROUP BY T1.id ORDER BY COUNT(*) DESC LIMIT 10;","['customers', 'invoices']","['customers', 'orders', 'first name', 'last name', 'total number of orders']"
List the top 10 customers by total gross sales. List customers' first and last name and total gross sales.,['customers'],"['first name', 'last name', 'total gross sales']","SELECT T1.first_name ,  T1.last_name ,  SUM(T2.total) FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id GROUP BY T1.id ORDER BY SUM(T2.total) DESC LIMIT 10;","['customers', 'invoices']","['customers', 'first name', 'last name', 'total gross sales']"
"What are the top 10 customers' first and last names with the highest gross sales, and also what are the sales?","['customers', 'sales']","['first name', 'last name', 'gross sales']","SELECT T1.first_name ,  T1.last_name ,  SUM(T2.total) FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id GROUP BY T1.id ORDER BY SUM(T2.total) DESC LIMIT 10;","['customers', 'invoices']","['customers', 'sales', 'first name', 'last name', 'gross sales']"
List the top 5 genres by number of tracks. List genres name and total tracks.,"['genres', 'tracks']","['genre name', 'total tracks']","SELECT T1.name ,  COUNT(*) FROM genres AS T1 JOIN tracks AS T2 ON T2.genre_id  =  T1.id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 5;","['tracks', 'genres']","['genres', 'tracks', 'genre name', 'total tracks']"
How many tracks does each genre have and what are the names of the top 5?,"['tracks', 'genres']","['genre', 'name', 'count']","SELECT T1.name ,  COUNT(*) FROM genres AS T1 JOIN tracks AS T2 ON T2.genre_id  =  T1.id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 5;","['tracks', 'genres']","['tracks', 'genres', 'genre', 'name', 'count']"
List every album's title.,['album'],['title'],SELECT title FROM albums;,['albums'],"['album', 'title']"
What are the titles of all the albums?,['albums'],['titles'],SELECT title FROM albums;,['albums'],"['albums', 'titles']"
List every album ordered by album title in ascending order.,['album'],['album title'],SELECT title FROM albums ORDER BY title;,['albums'],"['album', 'album title']"
What are the titles of all the albums alphabetically ascending?,['albums'],['titles'],SELECT title FROM albums ORDER BY title;,['albums'],"['albums', 'titles']"
List every album whose title starts with A in alphabetical order.,['album'],['title'],SELECT title FROM albums WHERE title LIKE 'A%' ORDER BY title;,['albums'],"['album', 'title']"
What are the titles of all albums that start with A in alphabetical order?,['albums'],['titles'],SELECT title FROM albums WHERE title LIKE 'A%' ORDER BY title;,['albums'],"['albums', 'titles']"
List the customers first and last name of 10 least expensive invoices.,"['customers', 'invoices']","['first name', 'last name', 'invoice']","SELECT T1.first_name ,  T1.last_name FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id ORDER BY total LIMIT 10;","['customers', 'invoices']","['customers', 'invoices', 'first name', 'last name', 'invoice']"
What are the first and last names of the customers with the 10 cheapest invoices?,"['customers', 'invoices']","['first names', 'last names', 'cheapest']","SELECT T1.first_name ,  T1.last_name FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id ORDER BY total LIMIT 10;","['customers', 'invoices']","['customers', 'invoices', 'first names', 'last names', 'cheapest']"
"List total amount of  invoice from Chicago, IL.",['invoice'],"['total amount', 'Chicago', 'IL']","SELECT sum(total) FROM invoices WHERE billing_city  =  ""Chicago"" AND billing_state  =  ""IL"";",['invoices'],"['invoice', 'total amount', 'Chicago', 'IL']"
"What are the total amount of money in the invoices billed from Chicago, Illinois?",['invoices'],"['total amount', 'money', 'billed', 'Chicago', 'Illinois']","SELECT sum(total) FROM invoices WHERE billing_city  =  ""Chicago"" AND billing_state  =  ""IL"";",['invoices'],"['invoices', 'total amount', 'money', 'billed', 'Chicago', 'Illinois']"
"List the number of invoices from Chicago, IL.",['invoices'],"['Chicago', 'IL']","SELECT COUNT(*) FROM invoices WHERE billing_city  =  ""Chicago"" AND billing_state  =  ""IL"";",['invoices'],"['invoices', 'Chicago', 'IL']"
"How many invoices were billed from Chicago, IL?",['invoices'],"['Chicago', 'IL']","SELECT COUNT(*) FROM invoices WHERE billing_city  =  ""Chicago"" AND billing_state  =  ""IL"";",['invoices'],"['invoices', 'Chicago', 'IL']"
"List the number of invoices from the US, grouped by state.",['invoices'],"['state', 'US']","SELECT billing_state ,  COUNT(*) FROM invoices WHERE billing_country  =  ""USA"" GROUP BY billing_state;",['invoices'],"['invoices', 'state', 'US']"
How many invoices were billed from each state?,['invoices'],"['state', 'count']","SELECT billing_state ,  COUNT(*) FROM invoices WHERE billing_country  =  ""USA"" GROUP BY billing_state;",['invoices'],"['invoices', 'state', 'count']"
List the state in the US with the most invoices.,['invoices'],"['state', 'US']","SELECT billing_state ,  COUNT(*) FROM invoices WHERE billing_country  =  ""USA"" GROUP BY billing_state ORDER BY COUNT(*) DESC LIMIT 1;",['invoices'],"['invoices', 'state', 'US']"
What are the states with the most invoices?,['invoices'],['states'],"SELECT billing_state ,  COUNT(*) FROM invoices WHERE billing_country  =  ""USA"" GROUP BY billing_state ORDER BY COUNT(*) DESC LIMIT 1;",['invoices'],"['invoices', 'states']"
List the number of invoices and the invoice total from California.,['invoices'],"['number of invoices', 'invoice total', 'California']","SELECT billing_state ,  COUNT(*) ,  SUM(total) FROM invoices WHERE billing_state  =  ""CA"";",['invoices'],"['invoices', 'number of invoices', 'invoice total', 'California']"
What is the number of invoices and total money billed in them from CA?,['invoices'],"['number', 'total money', 'CA']","SELECT billing_state ,  COUNT(*) ,  SUM(total) FROM invoices WHERE billing_state  =  ""CA"";",['invoices'],"['invoices', 'number', 'total money', 'CA']"
List Aerosmith's albums.,['albums'],['Aerosmith'],"SELECT T1.title FROM albums AS T1 JOIN artists AS T2 ON  T1.artist_id = T2.id WHERE T2.name = ""Aerosmith"";","['albums', 'artists']","['albums', 'Aerosmith']"
What are the titles of all the Aerosmith albums?,['albums'],"['titles', 'Aerosmith']","SELECT T1.title FROM albums AS T1 JOIN artists AS T2 ON  T1.artist_id = T2.id WHERE T2.name = ""Aerosmith"";","['albums', 'artists']","['albums', 'titles', 'Aerosmith']"
How many albums does Billy Cobham has?,['albums'],"['Billy Cobham', 'count']","SELECT count(*) FROM albums AS T1 JOIN artists AS T2 ON  T1.artist_id = T2.id WHERE T2.name = ""Billy Cobham"";","['albums', 'artists']","['albums', 'Billy Cobham', 'count']"
How many albums has Billy Cobam released?,['albums'],"['Billy Cobam', 'released']","SELECT count(*) FROM albums AS T1 JOIN artists AS T2 ON  T1.artist_id = T2.id WHERE T2.name = ""Billy Cobham"";","['albums', 'artists']","['albums', 'Billy Cobam', 'released']"
Eduardo Martins is a customer at which company?,"['customer', 'company']",['Eduardo Martins'],"SELECT company FROM customers WHERE first_name = ""Eduardo"" AND last_name = ""Martins"";",['customers'],"['customer', 'company', 'Eduardo Martins']"
What is the company where Eduardo Martins is a customer?,"['company', 'customer']",['Eduardo Martins'],"SELECT company FROM customers WHERE first_name = ""Eduardo"" AND last_name = ""Martins"";",['customers'],"['company', 'customer', 'Eduardo Martins']"
What is Astrid Gruber's email and phone number?,['customer'],"['email', 'phone', 'number']","SELECT email ,  phone FROM customers WHERE first_name = ""Astrid"" AND last_name = ""Gruber"";",['customers'],"['customer', 'email', 'phone', 'number']"
What is the email and phone number of Astrid Gruber the customer?,['customer'],"['email', 'phone number', 'name']","SELECT email ,  phone FROM customers WHERE first_name = ""Astrid"" AND last_name = ""Gruber"";",['customers'],"['customer', 'email', 'phone number', 'name']"
How many customers live in Prague city?,['customers'],['city'],"SELECT count(*) FROM customers WHERE city = ""Prague"";",['customers'],"['customers', 'city']"
How many customers live in the city of Prague?,['customers'],['city'],"SELECT count(*) FROM customers WHERE city = ""Prague"";",['customers'],"['customers', 'city']"
How many customers in state of CA?,['customers'],['state'],"SELECT count(*) FROM customers WHERE state = ""CA"";",['customers'],"['customers', 'state']"
How many customers are from California?,['customers'],['California'],"SELECT count(*) FROM customers WHERE state = ""CA"";",['customers'],"['customers', 'California']"
What country does Roberto Almeida live?,['country'],"['name', 'Roberto Almeida']","SELECT country FROM customers WHERE first_name = ""Roberto"" AND last_name = ""Almeida"";",['customers'],"['country', 'name', 'Roberto Almeida']"
In which country does Roberto Almeida?,['country'],['Roberto Almeida'],"SELECT country FROM customers WHERE first_name = ""Roberto"" AND last_name = ""Almeida"";",['customers'],"['country', 'Roberto Almeida']"
List the name of albums that are released by aritist whose name has 'Led',"['albums', 'artists']","['name', 'released', 'Led']",SELECT T2.title FROM artists AS T1 JOIN albums AS T2 ON T1.id  =  T2.artist_id WHERE T1.name LIKE '%Led%',"['albums', 'artists']","['albums', 'artists', 'name', 'released', 'Led']"
What is the title of the album that was released by the artist whose name has the phrase 'Led'?,"['album', 'artist']","['title', 'name', 'released']",SELECT T2.title FROM artists AS T1 JOIN albums AS T2 ON T1.id  =  T2.artist_id WHERE T1.name LIKE '%Led%',"['albums', 'artists']","['album', 'artist', 'title', 'name', 'released']"
How many customers does Steve Johnson support?,['customers'],"['Steve Johnson', 'support']","SELECT count(*) FROM employees AS T1 JOIN customers AS T2 ON T2.support_rep_id = T1.id WHERE T1.first_name = ""Steve"" AND T1.last_name = ""Johnson"";","['customers', 'employees']","['customers', 'Steve Johnson', 'support']"
What is the count of customers that Steve Johnson supports?,['customers'],"['count', 'Steve Johnson']","SELECT count(*) FROM employees AS T1 JOIN customers AS T2 ON T2.support_rep_id = T1.id WHERE T1.first_name = ""Steve"" AND T1.last_name = ""Johnson"";","['customers', 'employees']","['customers', 'count', 'Steve Johnson']"
"What is the title, phone and hire date of Nancy Edwards?",['employees'],"['title', 'phone', 'hire date', 'Nancy Edwards']","SELECT title ,  phone ,  hire_date FROM employees WHERE first_name = ""Nancy"" AND last_name = ""Edwards"";",['employees'],"['employees', 'title', 'phone', 'hire date', 'Nancy Edwards']"
"What is the title, phone number and hire date for the employee named Nancy Edwards?",['employee'],"['title', 'phone number', 'hire date', 'name']","SELECT title ,  phone ,  hire_date FROM employees WHERE first_name = ""Nancy"" AND last_name = ""Edwards"";",['employees'],"['employee', 'title', 'phone number', 'hire date', 'name']"
find the full name of employees who report to Nancy Edwards?,['employees'],"['full name', 'report to', 'Nancy Edwards']","SELECT T2.first_name , T2.last_name FROM employees AS T1 JOIN employees AS T2 ON T1.id = T2.reports_to WHERE T1.first_name = ""Nancy"" AND T1.last_name = ""Edwards"";",['employees'],"['employees', 'full name', 'report to', 'Nancy Edwards']"
What is the first and last name of the employee who reports to Nancy Edwards?,['employee'],"['first name', 'last name', 'reports to', 'Nancy Edwards']","SELECT T2.first_name , T2.last_name FROM employees AS T1 JOIN employees AS T2 ON T1.id = T2.reports_to WHERE T1.first_name = ""Nancy"" AND T1.last_name = ""Edwards"";",['employees'],"['employee', 'first name', 'last name', 'reports to', 'Nancy Edwards']"
What is the address of employee Nancy Edwards?,['employee'],"['address', 'Nancy Edwards']","SELECT address FROM employees WHERE first_name = ""Nancy"" AND last_name = ""Edwards"";",['employees'],"['employee', 'address', 'Nancy Edwards']"
What is Nancy Edwards's address?,"['person', 'address']","['name', 'address']","SELECT address FROM employees WHERE first_name = ""Nancy"" AND last_name = ""Edwards"";",['employees'],"['person', 'address', 'name', 'address']"
Find the full name of employee who supported the most number of customers.,"['employee', 'customers']","['full name', 'number of customers']","SELECT T1.first_name , T1.last_name FROM employees AS T1 JOIN customers AS T2 ON T1.id  =  T2.support_rep_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","['customers', 'employees']","['employee', 'customers', 'full name', 'number of customers']"
What is the full name of the employee who has the most customers?,"['employee', 'customers']",['full name'],"SELECT T1.first_name , T1.last_name FROM employees AS T1 JOIN customers AS T2 ON T1.id  =  T2.support_rep_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","['customers', 'employees']","['employee', 'customers', 'full name']"
How many employees are living in Canada?,['employees'],"['living', 'Canada']","SELECT count(*) FROM employees WHERE country = ""Canada"";",['employees'],"['employees', 'living', 'Canada']"
How many employees live in Canada?,['employees'],['Canada'],"SELECT count(*) FROM employees WHERE country = ""Canada"";",['employees'],"['employees', 'Canada']"
What is employee Nancy Edwards's phone number?,['employee'],"['name', 'phone number']","SELECT phone FROM employees WHERE first_name = ""Nancy"" AND last_name = ""Edwards"";",['employees'],"['employee', 'name', 'phone number']"
What is the the phone number of Nancy Edwards?,['phone'],"['phone number', 'Nancy Edwards']","SELECT phone FROM employees WHERE first_name = ""Nancy"" AND last_name = ""Edwards"";",['employees'],"['phone', 'phone number', 'Nancy Edwards']"
Who is the youngest employee in the company? List employee's first and last name.,['employee'],"['youngest', 'first name', 'last name']","SELECT first_name , last_name FROM employees ORDER BY birth_date DESC LIMIT 1;",['employees'],"['employee', 'youngest', 'first name', 'last name']"
What si the youngest employee's first and last name?,['employee'],"['first name', 'last name', 'youngest']","SELECT first_name , last_name FROM employees ORDER BY birth_date DESC LIMIT 1;",['employees'],"['employee', 'first name', 'last name', 'youngest']"
List top 10 employee work longest in the company. List employee's first and last name.,['employee'],"['first name', 'last name', 'work']","SELECT first_name , last_name FROM employees ORDER BY hire_date ASC LIMIT 10;",['employees'],"['employee', 'first name', 'last name', 'work']"
What are the first and last names of the top 10 longest-serving employees?,['employees'],"['first names', 'last names', 'longest-serving']","SELECT first_name , last_name FROM employees ORDER BY hire_date ASC LIMIT 10;",['employees'],"['employees', 'first names', 'last names', 'longest-serving']"
Find the number of employees whose title is IT Staff from each city?,['employees'],"['title', 'IT Staff', 'city']","SELECT count(*) ,  city FROM employees WHERE title  =  'IT Staff' GROUP BY city",['employees'],"['employees', 'title', 'IT Staff', 'city']"
How many employees who are IT staff are from each city?,['employees'],"['IT staff', 'city']","SELECT count(*) ,  city FROM employees WHERE title  =  'IT Staff' GROUP BY city",['employees'],"['employees', 'IT staff', 'city']"
"Which employee manage most number of peoples? List employee's first and last name, and number of people report to that employee.",['employee'],"['first name', 'last name', 'number of people', 'report']","SELECT T2.first_name , T2.last_name ,  count(T1.reports_to) FROM employees AS T1 JOIN employees AS T2 ON T1.reports_to = T2.id GROUP BY T1.reports_to ORDER BY count(T1.reports_to) DESC LIMIT 1;",['employees'],"['employee', 'first name', 'last name', 'number of people', 'report']"
What are the first and last names of all the employees and how many people report to them?,['employees'],"['first names', 'last names', 'report']","SELECT T2.first_name , T2.last_name ,  count(T1.reports_to) FROM employees AS T1 JOIN employees AS T2 ON T1.reports_to = T2.id GROUP BY T1.reports_to ORDER BY count(T1.reports_to) DESC LIMIT 1;",['employees'],"['employees', 'first names', 'last names', 'report']"
How many orders does Lucas Mancini has?,['orders'],['Lucas Mancini'],"SELECT count(*) FROM customers AS T1 JOIN invoices AS T2 ON T1.id = T2.customer_id WHERE T1.first_name = ""Lucas"" AND T1.last_name = ""Mancini"";","['customers', 'invoices']","['orders', 'Lucas Mancini']"
How many orders does Luca Mancini have in his invoices?,"['orders', 'invoices']",['Luca Mancini'],"SELECT count(*) FROM customers AS T1 JOIN invoices AS T2 ON T1.id = T2.customer_id WHERE T1.first_name = ""Lucas"" AND T1.last_name = ""Mancini"";","['customers', 'invoices']","['orders', 'invoices', 'Luca Mancini']"
What is the total amount of money spent by Lucas Mancini?,['money'],"['amount', 'Lucas Mancini']","SELECT sum(T2.total) FROM customers AS T1 JOIN invoices AS T2 ON T1.id = T2.customer_id WHERE T1.first_name = ""Lucas"" AND T1.last_name = ""Mancini"";","['customers', 'invoices']","['money', 'amount', 'Lucas Mancini']"
How much money did Lucas Mancini spend?,['money'],"['money', 'spend']","SELECT sum(T2.total) FROM customers AS T1 JOIN invoices AS T2 ON T1.id = T2.customer_id WHERE T1.first_name = ""Lucas"" AND T1.last_name = ""Mancini"";","['customers', 'invoices']","['money', 'money', 'spend']"
List all media types.,['media'],['types'],SELECT name FROM media_types;,['media_types'],"['media', 'types']"
What are the names of all the media types?,['media types'],['names'],SELECT name FROM media_types;,['media_types'],"['media types', 'names']"
List all different genre types.,['genre'],['type'],SELECT DISTINCT name FROM genres;,['genres'],"['genre', 'type']"
What are the different names of the genres?,['genres'],['names'],SELECT DISTINCT name FROM genres;,['genres'],"['genres', 'names']"
List the name of all playlist.,['playlist'],['name'],SELECT name FROM playlists;,['playlists'],"['playlist', 'name']"
What are the names of all the playlists?,['playlists'],['names'],SELECT name FROM playlists;,['playlists'],"['playlists', 'names']"
Who is the composer of track Fast As a Shark?,['track'],"['composer', 'Fast As a Shark']","SELECT composer FROM tracks WHERE name = ""Fast As a Shark"";",['tracks'],"['track', 'composer', 'Fast As a Shark']"
"What is the composer who created the track ""Fast As a Shark""?","['track', 'composer']",['Fast As a Shark'],"SELECT composer FROM tracks WHERE name = ""Fast As a Shark"";",['tracks'],"['track', 'composer', 'Fast As a Shark']"
How long does track Fast As a Shark has?,['track'],"['Fast As a Shark', 'length']","SELECT milliseconds FROM tracks WHERE name = ""Fast As a Shark"";",['tracks'],"['track', 'Fast As a Shark', 'length']"
How many milliseconds long is Fast As a Shark?,['song'],"['milliseconds', 'title']","SELECT milliseconds FROM tracks WHERE name = ""Fast As a Shark"";",['tracks'],"['song', 'milliseconds', 'title']"
What is the name of tracks whose genre is Rock?,['tracks'],"['name', 'genre', 'Rock']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.name = ""Rock"";","['tracks', 'genres']","['tracks', 'name', 'genre', 'Rock']"
What is the name of all tracks in the Rock genre?,['tracks'],"['name', 'genre', 'Rock']","SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.name = ""Rock"";","['tracks', 'genres']","['tracks', 'name', 'genre', 'Rock']"
What is title of album which track Balls to the Wall belongs to?,"['album', 'track']","['title', 'Balls to the Wall']","SELECT T1.title FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T2.name = ""Balls to the Wall"";","['albums', 'tracks']","['album', 'track', 'title', 'Balls to the Wall']"
What is the name of the album that has the track Ball to the Wall?,"['album', 'track']","['name', 'Ball to the Wall']","SELECT T1.title FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T2.name = ""Balls to the Wall"";","['albums', 'tracks']","['album', 'track', 'name', 'Ball to the Wall']"
List name of all tracks in Balls to the Wall.,['tracks'],"['name', 'Balls to the Wall']","SELECT T2.name FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.title = ""Balls to the Wall"";","['albums', 'tracks']","['tracks', 'name', 'Balls to the Wall']"
What is the name of all tracks in the album named Balls to the Wall?,"['tracks', 'album']","['name', 'Balls to the Wall']","SELECT T2.name FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.title = ""Balls to the Wall"";","['albums', 'tracks']","['tracks', 'album', 'name', 'Balls to the Wall']"
List title of albums have the number of tracks greater than 10.,['albums'],"['title', 'tracks']",SELECT T1.title FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.album_id GROUP BY T1.id HAVING count(T1.id)  >  10;,"['albums', 'tracks']","['albums', 'title', 'tracks']"
What are the names of the albums that have more than 10 tracks?,"['albums', 'tracks']","['names', 'number of tracks']",SELECT T1.title FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.album_id GROUP BY T1.id HAVING count(T1.id)  >  10;,"['albums', 'tracks']","['albums', 'tracks', 'names', 'number of tracks']"
