database,table,processed_database,processed_table,database_and_table
insurance_and_eClaims,Claims_Documents,insurance and eClaims,Claims Documents,insurance and eClaims Claims Documents
insurance_and_eClaims,Claims_Processing_Stages,insurance and eClaims,Claims Processing Stages,insurance and eClaims Claims Processing Stages
insurance_and_eClaims,Claims_Processing,insurance and eClaims,Claims Processing,insurance and eClaims Claims Processing
insurance_fnol,Customers,insurance fnol,Customers,insurance fnol Customers
insurance_fnol,Services,insurance fnol,Services,insurance fnol Services
insurance_fnol,Available_Policies,insurance fnol,Available Policies,insurance fnol Available Policies
insurance_fnol,Customers_Policies,insurance fnol,Customers Policies,insurance fnol Customers Policies
insurance_fnol,First_Notification_of_Loss,insurance fnol,First Notification of Loss,insurance fnol First Notification of Loss
insurance_fnol,Claims,insurance fnol,Claims,insurance fnol Claims
insurance_fnol,Settlements,insurance fnol,Settlements,insurance fnol Settlements
insurance_policies,Customers,insurance policies,Customers,insurance policies Customers
insurance_policies,Customer_Policies,insurance policies,Customer Policies,insurance policies Customer Policies
insurance_policies,Claims,insurance policies,Claims,insurance policies Claims
insurance_policies,Settlements,insurance policies,Settlements,insurance policies Settlements
insurance_policies,Payments,insurance policies,Payments,insurance policies Payments
loan_1,bank,loan 1,bank,loan 1 bank
loan_1,customer,loan 1,customer,loan 1 customer
loan_1,loan,loan 1,loan,loan 1 loan
local_govt_and_lot,Customers,local govt and lot,Customers,local govt and lot Customers
local_govt_and_lot,Properties,local govt and lot,Properties,local govt and lot Properties
local_govt_and_lot,Residents,local govt and lot,Residents,local govt and lot Residents
local_govt_and_lot,Organizations,local govt and lot,Organizations,local govt and lot Organizations
local_govt_and_lot,Services,local govt and lot,Services,local govt and lot Services
local_govt_and_lot,Residents_Services,local govt and lot,Residents Services,local govt and lot Residents Services
local_govt_and_lot,Things,local govt and lot,Things,local govt and lot Things
local_govt_and_lot,Customer_Events,local govt and lot,Customer Events,local govt and lot Customer Events
local_govt_and_lot,Customer_Event_Notes,local govt and lot,Customer Event Notes,local govt and lot Customer Event Notes
local_govt_and_lot,Timed_Status_of_Things,local govt and lot,Timed Status of Things,local govt and lot Timed Status of Things
local_govt_and_lot,Timed_Locations_of_Things,local govt and lot,Timed Locations of Things,local govt and lot Timed Locations of Things
local_govt_in_alabama,Services,local govt in alabama,Services,local govt in alabama Services
local_govt_in_alabama,Participants,local govt in alabama,Participants,local govt in alabama Participants
local_govt_in_alabama,Events,local govt in alabama,Events,local govt in alabama Events
local_govt_in_alabama,Participants_in_Events,local govt in alabama,Participants in Events,local govt in alabama Participants in Events
local_govt_mdm,Customer_Master_Index,local govt mdm,Customer Master Index,local govt mdm Customer Master Index
local_govt_mdm,CMI_Cross_References,local govt mdm,CMI Cross References,local govt mdm CMI Cross References
local_govt_mdm,Council_Tax,local govt mdm,Council Tax,local govt mdm Council Tax
local_govt_mdm,Business_Rates,local govt mdm,Business Rates,local govt mdm Business Rates
local_govt_mdm,Benefits_Overpayments,local govt mdm,Benefits Overpayments,local govt mdm Benefits Overpayments
local_govt_mdm,Parking_Fines,local govt mdm,Parking Fines,local govt mdm Parking Fines
local_govt_mdm,Rent_Arrears,local govt mdm,Rent Arrears,local govt mdm Rent Arrears
local_govt_mdm,Electoral_Register,local govt mdm,Electoral Register,local govt mdm Electoral Register
machine_repair,repair,machine repair,repair,machine repair repair
machine_repair,machine,machine repair,machine,machine repair machine
machine_repair,technician,machine repair,technician,machine repair technician
machine_repair,repair_assignment,machine repair,repair assignment,machine repair repair assignment
manufactory_1,Manufacturers,manufactory 1,Manufacturers,manufactory 1 Manufacturers
manufactory_1,Products,manufactory 1,Products,manufactory 1 Products
manufacturer,manufacturer,manufacturer,manufacturer,manufacturer manufacturer
manufacturer,furniture,manufacturer,furniture,manufacturer furniture
manufacturer,furniture_manufacte,manufacturer,furniture manufacte,manufacturer furniture manufacte
match_season,country,match season,country,match season country
match_season,team,match season,team,match season team
match_season,match_season,match season,match season,match season match season
match_season,player,match season,player,match season player
medicine_enzyme_interaction,medicine,medicine enzyme interaction,medicine,medicine enzyme interaction medicine
medicine_enzyme_interaction,enzyme,medicine enzyme interaction,enzyme,medicine enzyme interaction enzyme
medicine_enzyme_interaction,medicine_enzyme_interaction,medicine enzyme interaction,medicine enzyme interaction,medicine enzyme interaction medicine enzyme interaction
movie_1,Movie,movie 1,Movie,movie 1 Movie
movie_1,Reviewer,movie 1,Reviewer,movie 1 Reviewer
movie_1,Rating,movie 1,Rating,movie 1 Rating
museum_visit,museum,museum visit,museum,museum visit museum
museum_visit,visitor,museum visit,visitor,museum visit visitor
museum_visit,visit,museum visit,visit,museum visit visit
music_1,genre,music 1,genre,music 1 genre
music_1,artist,music 1,artist,music 1 artist
music_1,files,music 1,files,music 1 files
music_1,song,music 1,song,music 1 song
music_2,Songs,music 2,Songs,music 2 Songs
music_2,Albums,music 2,Albums,music 2 Albums
music_2,Band,music 2,Band,music 2 Band
music_2,Instruments,music 2,Instruments,music 2 Instruments
music_2,Performance,music 2,Performance,music 2 Performance
music_2,Tracklists,music 2,Tracklists,music 2 Tracklists
music_2,Vocals,music 2,Vocals,music 2 Vocals
music_4,artist,music 4,artist,music 4 artist
music_4,volume,music 4,volume,music 4 volume
music_4,music_festival,music 4,music festival,music 4 music festival
musical,musical,musical,musical,musical musical
musical,actor,musical,actor,musical actor
network_1,Highschooler,network 1,Highschooler,network 1 Highschooler
network_1,Friend,network 1,Friend,network 1 Friend
network_1,Likes,network 1,Likes,network 1 Likes
network_2,Person,network 2,Person,network 2 Person
network_2,PersonFriend,network 2,PersonFriend,network 2 PersonFriend
news_report,event,news report,event,news report event
news_report,journalist,news report,journalist,news report journalist
news_report,news_report,news report,news report,news report news report
orchestra,conductor,orchestra,conductor,orchestra conductor
orchestra,orchestra,orchestra,orchestra,orchestra orchestra
orchestra,performance,orchestra,performance,orchestra performance
orchestra,show,orchestra,show,orchestra show
party_host,party,party host,party,party host party
party_host,host,party host,host,party host host
party_host,party_host,party host,party host,party host party host
party_people,region,party people,region,party people region
party_people,party,party people,party,party people party
party_people,member,party people,member,party people member
party_people,party_events,party people,party events,party people party events
performance_attendance,member,performance attendance,member,performance attendance member
performance_attendance,performance,performance attendance,performance,performance attendance performance
performance_attendance,member_attendance,performance attendance,member attendance,performance attendance member attendance
perpetrator,perpetrator,perpetrator,perpetrator,perpetrator perpetrator
perpetrator,people,perpetrator,people,perpetrator people
pets_1,Student,pets 1,Student,pets 1 Student
pets_1,Has_Pet,pets 1,Has Pet,pets 1 Has Pet
pets_1,Pets,pets 1,Pets,pets 1 Pets
phone_market,phone,phone market,phone,phone market phone
phone_market,market,phone market,market,phone market market
phone_market,phone_market,phone market,phone market,phone market phone market
pilot_record,aircraft,pilot record,aircraft,pilot record aircraft
pilot_record,pilot,pilot record,pilot,pilot record pilot
pilot_record,pilot_record,pilot record,pilot record,pilot record pilot record
poker_player,poker_player,poker player,poker player,poker player poker player
poker_player,people,poker player,people,poker player people
product_catalog,Attribute_Definitions,product catalog,Attribute Definitions,product catalog Attribute Definitions
product_catalog,Catalogs,product catalog,Catalogs,product catalog Catalogs
product_catalog,Catalog_Structure,product catalog,Catalog Structure,product catalog Catalog Structure
product_catalog,Catalog_Contents,product catalog,Catalog Contents,product catalog Catalog Contents
product_catalog,Catalog_Contents_Additional_Attributes,product catalog,Catalog Contents Additional Attributes,product catalog Catalog Contents Additional Attributes
products_for_hire,Discount_Coupons,products for hire,Discount Coupons,products for hire Discount Coupons
products_for_hire,Customers,products for hire,Customers,products for hire Customers
products_for_hire,Bookings,products for hire,Bookings,products for hire Bookings
products_for_hire,Products_for_Hire,products for hire,Products for Hire,products for hire Products for Hire
products_for_hire,Payments,products for hire,Payments,products for hire Payments
products_for_hire,Products_Booked,products for hire,Products Booked,products for hire Products Booked
products_for_hire,View_Product_Availability,products for hire,View Product Availability,products for hire View Product Availability
products_gen_characteristics,Ref_Characteristic_Types,products gen characteristics,Ref Characteristic Types,products gen characteristics Ref Characteristic Types
products_gen_characteristics,Ref_Colors,products gen characteristics,Ref Colors,products gen characteristics Ref Colors
products_gen_characteristics,Ref_Product_Categories,products gen characteristics,Ref Product Categories,products gen characteristics Ref Product Categories
products_gen_characteristics,Characteristics,products gen characteristics,Characteristics,products gen characteristics Characteristics
products_gen_characteristics,Products,products gen characteristics,Products,products gen characteristics Products
products_gen_characteristics,Product_Characteristics,products gen characteristics,Product Characteristics,products gen characteristics Product Characteristics
program_share,program,program share,program,program share program
program_share,channel,program share,channel,program share channel
program_share,broadcast,program share,broadcast,program share broadcast
program_share,broadcast_share,program share,broadcast share,program share broadcast share
protein_institute,building,protein institute,building,protein institute building
protein_institute,Institution,protein institute,Institution,protein institute Institution
protein_institute,protein,protein institute,protein,protein institute protein
race_track,race,race track,race,race track race
race_track,track,race track,track,race track track
railway,railway,railway,railway,railway railway
railway,train,railway,train,railway train
railway,manager,railway,manager,railway manager
railway,railway_manage,railway,railway manage,railway railway manage
real_estate_properties,Ref_Feature_Types,real estate properties,Ref Feature Types,real estate properties Ref Feature Types
real_estate_properties,Ref_Property_Types,real estate properties,Ref Property Types,real estate properties Ref Property Types
real_estate_properties,Other_Available_Features,real estate properties,Other Available Features,real estate properties Other Available Features
real_estate_properties,Properties,real estate properties,Properties,real estate properties Properties
real_estate_properties,Other_Property_Features,real estate properties,Other Property Features,real estate properties Other Property Features
restaurant_1,Student,restaurant 1,Student,restaurant 1 Student
restaurant_1,Restaurant,restaurant 1,Restaurant,restaurant 1 Restaurant
restaurant_1,Type_Of_Restaurant,restaurant 1,Type Of Restaurant,restaurant 1 Type Of Restaurant
restaurant_1,Restaurant_Type,restaurant 1,Restaurant Type,restaurant 1 Restaurant Type
restaurant_1,Visits_Restaurant,restaurant 1,Visits Restaurant,restaurant 1 Visits Restaurant
restaurants,GEOGRAPHIC,restaurants,GEOGRAPHIC,restaurants GEOGRAPHIC
restaurants,RESTAURANT,restaurants,RESTAURANT,restaurants RESTAURANT
restaurants,LOCATION,restaurants,LOCATION,restaurants LOCATION
roller_coaster,roller_coaster,roller coaster,roller coaster,roller coaster roller coaster
roller_coaster,country,roller coaster,country,roller coaster country
sakila_1,actor,sakila 1,actor,sakila 1 actor
sakila_1,address,sakila 1,address,sakila 1 address
sakila_1,category,sakila 1,category,sakila 1 category
sakila_1,city,sakila 1,city,sakila 1 city
sakila_1,country,sakila 1,country,sakila 1 country
sakila_1,customer,sakila 1,customer,sakila 1 customer
sakila_1,film,sakila 1,film,sakila 1 film
sakila_1,film_actor,sakila 1,film actor,sakila 1 film actor
sakila_1,film_category,sakila 1,film category,sakila 1 film category
sakila_1,film_text,sakila 1,film text,sakila 1 film text
sakila_1,inventory,sakila 1,inventory,sakila 1 inventory
sakila_1,language,sakila 1,language,sakila 1 language
sakila_1,payment,sakila 1,payment,sakila 1 payment
sakila_1,rental,sakila 1,rental,sakila 1 rental
sakila_1,staff,sakila 1,staff,sakila 1 staff
sakila_1,store,sakila 1,store,sakila 1 store
scholar,venue,scholar,venue,scholar venue
scholar,author,scholar,author,scholar author
scholar,dataset,scholar,dataset,scholar dataset
scholar,journal,scholar,journal,scholar journal
scholar,keyphrase,scholar,keyphrase,scholar keyphrase
scholar,paper,scholar,paper,scholar paper
scholar,cite,scholar,cite,scholar cite
scholar,paperDataset,scholar,paperDataset,scholar paperDataset
scholar,paperKeyphrase,scholar,paperKeyphrase,scholar paperKeyphrase
scholar,writes,scholar,writes,scholar writes
school_bus,driver,school bus,driver,school bus driver
school_bus,school,school bus,school,school bus school
school_bus,school_bus,school bus,school bus,school bus school bus
school_finance,School,school finance,School,school finance School
school_finance,budget,school finance,budget,school finance budget
school_finance,endowment,school finance,endowment,school finance endowment
school_player,school,school player,school,school player school
school_player,school_details,school player,school details,school player school details
school_player,school_performance,school player,school performance,school player school performance
school_player,player,school player,player,school player player
scientist_1,Scientists,scientist 1,Scientists,scientist 1 Scientists
scientist_1,Projects,scientist 1,Projects,scientist 1 Projects
scientist_1,AssignedTo,scientist 1,AssignedTo,scientist 1 AssignedTo
ship_1,captain,ship 1,captain,ship 1 captain
ship_1,Ship,ship 1,Ship,ship 1 Ship
ship_mission,mission,ship mission,mission,ship mission mission
ship_mission,ship,ship mission,ship,ship mission ship
shop_membership,member,shop membership,member,shop membership member
shop_membership,branch,shop membership,branch,shop membership branch
shop_membership,membership_register_branch,shop membership,membership register branch,shop membership membership register branch
shop_membership,purchase,shop membership,purchase,shop membership purchase
singer,singer,singer,singer,singer singer
singer,song,singer,song,singer song
soccer_1,Player_Attributes,soccer 1,Player Attributes,soccer 1 Player Attributes
soccer_1,Player,soccer 1,Player,soccer 1 Player
soccer_1,Match,soccer 1,Match,soccer 1 Match
soccer_1,League,soccer 1,League,soccer 1 League
soccer_1,Country,soccer 1,Country,soccer 1 Country
soccer_1,Team,soccer 1,Team,soccer 1 Team
soccer_1,Team_Attributes,soccer 1,Team Attributes,soccer 1 Team Attributes
solvency_ii,Addresses,solvency ii,Addresses,solvency ii Addresses
solvency_ii,Locations,solvency ii,Locations,solvency ii Locations
solvency_ii,Products,solvency ii,Products,solvency ii Products
solvency_ii,Parties,solvency ii,Parties,solvency ii Parties
solvency_ii,Assets,solvency ii,Assets,solvency ii Assets
solvency_ii,Channels,solvency ii,Channels,solvency ii Channels
solvency_ii,Finances,solvency ii,Finances,solvency ii Finances
solvency_ii,Events,solvency ii,Events,solvency ii Events
solvency_ii,Products_in_Events,solvency ii,Products in Events,solvency ii Products in Events
solvency_ii,Parties_in_Events,solvency ii,Parties in Events,solvency ii Parties in Events
solvency_ii,Agreements,solvency ii,Agreements,solvency ii Agreements
solvency_ii,Assets_in_Events,solvency ii,Assets in Events,solvency ii Assets in Events
sports_competition,club,sports competition,club,sports competition club
sports_competition,club_rank,sports competition,club rank,sports competition club rank
sports_competition,player,sports competition,player,sports competition player
sports_competition,competition,sports competition,competition,sports competition competition
sports_competition,competition_result,sports competition,competition result,sports competition competition result
station_weather,train,station weather,train,station weather train
station_weather,station,station weather,station,station weather station
station_weather,route,station weather,route,station weather route
station_weather,weekly_weather,station weather,weekly weather,station weather weekly weather
store_1,artists,store 1,artists,store 1 artists
store_1,albums,store 1,albums,store 1 albums
store_1,employees,store 1,employees,store 1 employees
store_1,customers,store 1,customers,store 1 customers
store_1,genres,store 1,genres,store 1 genres
store_1,invoices,store 1,invoices,store 1 invoices
store_1,media_types,store 1,media types,store 1 media types
store_1,tracks,store 1,tracks,store 1 tracks
store_1,invoice_lines,store 1,invoice lines,store 1 invoice lines
store_1,playlists,store 1,playlists,store 1 playlists
store_1,playlist_tracks,store 1,playlist tracks,store 1 playlist tracks
store_product,product,store product,product,store product product
store_product,store,store product,store,store product store
store_product,district,store product,district,store product district
store_product,store_product,store product,store product,store product store product
store_product,store_district,store product,store district,store product store district
storm_record,storm,storm record,storm,storm record storm
storm_record,region,storm record,region,storm record region
storm_record,affected_region,storm record,affected region,storm record affected region
student_assessment,Addresses,student assessment,Addresses,student assessment Addresses
student_assessment,People,student assessment,People,student assessment People
student_assessment,Students,student assessment,Students,student assessment Students
student_assessment,Courses,student assessment,Courses,student assessment Courses
student_assessment,People_Addresses,student assessment,People Addresses,student assessment People Addresses
student_assessment,Student_Course_Registrations,student assessment,Student Course Registrations,student assessment Student Course Registrations
student_assessment,Student_Course_Attendance,student assessment,Student Course Attendance,student assessment Student Course Attendance
student_assessment,Candidates,student assessment,Candidates,student assessment Candidates
student_assessment,Candidate_Assessments,student assessment,Candidate Assessments,student assessment Candidate Assessments
student_transcripts_tracking,Addresses,student transcripts tracking,Addresses,student transcripts tracking Addresses
student_transcripts_tracking,Courses,student transcripts tracking,Courses,student transcripts tracking Courses
student_transcripts_tracking,Departments,student transcripts tracking,Departments,student transcripts tracking Departments
student_transcripts_tracking,Degree_Programs,student transcripts tracking,Degree Programs,student transcripts tracking Degree Programs
student_transcripts_tracking,Sections,student transcripts tracking,Sections,student transcripts tracking Sections
student_transcripts_tracking,Semesters,student transcripts tracking,Semesters,student transcripts tracking Semesters
student_transcripts_tracking,Students,student transcripts tracking,Students,student transcripts tracking Students
student_transcripts_tracking,Student_Enrolment,student transcripts tracking,Student Enrolment,student transcripts tracking Student Enrolment
student_transcripts_tracking,Student_Enrolment_Courses,student transcripts tracking,Student Enrolment Courses,student transcripts tracking Student Enrolment Courses
student_transcripts_tracking,Transcripts,student transcripts tracking,Transcripts,student transcripts tracking Transcripts
student_transcripts_tracking,Transcript_Contents,student transcripts tracking,Transcript Contents,student transcripts tracking Transcript Contents
swimming,swimmer,swimming,swimmer,swimming swimmer
swimming,stadium,swimming,stadium,swimming stadium
swimming,event,swimming,event,swimming event
swimming,record,swimming,record,swimming record
theme_gallery,artist,theme gallery,artist,theme gallery artist
theme_gallery,exhibition,theme gallery,exhibition,theme gallery exhibition
theme_gallery,exhibition_record,theme gallery,exhibition record,theme gallery exhibition record
tracking_grants_for_research,Document_Types,tracking grants for research,Document Types,tracking grants for research Document Types
tracking_grants_for_research,Documents,tracking grants for research,Documents,tracking grants for research Documents
tracking_grants_for_research,Grants,tracking grants for research,Grants,tracking grants for research Grants
tracking_grants_for_research,Organisation_Types,tracking grants for research,Organisation Types,tracking grants for research Organisation Types
tracking_grants_for_research,Organisations,tracking grants for research,Organisations,tracking grants for research Organisations
tracking_grants_for_research,Project_Outcomes,tracking grants for research,Project Outcomes,tracking grants for research Project Outcomes
tracking_grants_for_research,Project_Staff,tracking grants for research,Project Staff,tracking grants for research Project Staff
tracking_grants_for_research,Projects,tracking grants for research,Projects,tracking grants for research Projects
tracking_grants_for_research,Research_Outcomes,tracking grants for research,Research Outcomes,tracking grants for research Research Outcomes
tracking_grants_for_research,Research_Staff,tracking grants for research,Research Staff,tracking grants for research Research Staff
tracking_grants_for_research,Staff_Roles,tracking grants for research,Staff Roles,tracking grants for research Staff Roles
tracking_grants_for_research,Tasks,tracking grants for research,Tasks,tracking grants for research Tasks
tracking_orders,Customers,tracking orders,Customers,tracking orders Customers
tracking_orders,Invoices,tracking orders,Invoices,tracking orders Invoices
tracking_orders,Orders,tracking orders,Orders,tracking orders Orders
tracking_orders,Products,tracking orders,Products,tracking orders Products
tracking_orders,Order_Items,tracking orders,Order Items,tracking orders Order Items
tracking_orders,Shipments,tracking orders,Shipments,tracking orders Shipments
tracking_orders,Shipment_Items,tracking orders,Shipment Items,tracking orders Shipment Items
tracking_share_transactions,Investors,tracking share transactions,Investors,tracking share transactions Investors
tracking_share_transactions,Lots,tracking share transactions,Lots,tracking share transactions Lots
tracking_share_transactions,Ref_Transaction_Types,tracking share transactions,Ref Transaction Types,tracking share transactions Ref Transaction Types
tracking_share_transactions,Transactions,tracking share transactions,Transactions,tracking share transactions Transactions
tracking_share_transactions,Sales,tracking share transactions,Sales,tracking share transactions Sales
tracking_share_transactions,Purchases,tracking share transactions,Purchases,tracking share transactions Purchases
tracking_share_transactions,Transactions_Lots,tracking share transactions,Transactions Lots,tracking share transactions Transactions Lots
tracking_software_problems,Problem_Category_Codes,tracking software problems,Problem Category Codes,tracking software problems Problem Category Codes
tracking_software_problems,Problem_Log,tracking software problems,Problem Log,tracking software problems Problem Log
tracking_software_problems,Problem_Status_Codes,tracking software problems,Problem Status Codes,tracking software problems Problem Status Codes
tracking_software_problems,Product,tracking software problems,Product,tracking software problems Product
tracking_software_problems,Staff,tracking software problems,Staff,tracking software problems Staff
tracking_software_problems,Problems,tracking software problems,Problems,tracking software problems Problems
train_station,station,train station,station,train station station
train_station,train,train station,train,train station train
train_station,train_station,train station,train station,train station train station
university_basketball,basketball_match,university basketball,basketball match,university basketball basketball match
university_basketball,university,university basketball,university,university basketball university
voter_2,Student,voter 2,Student,voter 2 Student
voter_2,Voting_record,voter 2,Voting record,voter 2 Voting record
wedding,people,wedding,people,wedding people
wedding,church,wedding,church,wedding church
wedding,wedding,wedding,wedding,wedding wedding
workshop_paper,workshop,workshop paper,workshop,workshop paper workshop
workshop_paper,submission,workshop paper,submission,workshop paper submission
workshop_paper,Acceptance,workshop paper,Acceptance,workshop paper Acceptance
wrestler,wrestler,wrestler,wrestler,wrestler wrestler
wrestler,Elimination,wrestler,Elimination,wrestler Elimination
yelp,business,yelp,business,yelp business
yelp,category,yelp,category,yelp category
yelp,user,yelp,user,yelp user
yelp,checkin,yelp,checkin,yelp checkin
yelp,neighbourhood,yelp,neighbourhood,yelp neighbourhood
yelp,review,yelp,review,yelp review
yelp,tip,yelp,tip,yelp tip
